Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Gogoat,82.4,673,grass,none,119.7,95,165,1876484,19.5,1499,Vine Whip,Leaf Blade,Brick Break,5,5,3,50000
Miltank,82.3,241,normal,none,105.4,134.8,150,2130680,24,1500,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Piloswine,82.3,221,ice,ground,121.1,99.5,154,1854684,24,1500,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Castform (Rainy),82.1,351,water,none,112.6,121.3,146,1993800,39.5,1500,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Gourgeist (Super),82.1,711,ghost,grass,115.1,131.6,129,1953944,21,1500,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Umbreon,82.1,197,dark,none,90.2,177,156,2491764,27,1500,Snarl,Dark Pulse,Last Resort,4,5,5,75000
Venusaur,82.1,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Glalie,82,362,ice,none,115.2,120.8,140,1948427,27,1499,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Meganium,82,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Raichu (Alolan),81.9,26,electric,psychic,135.5,109.9,111,1653242,24,1498,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Salazzle,81.9,758,poison,fire,147,91.2,114,1529161,22.5,1499,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Electivire,81.8,466,electric,none,143.4,100.9,108,1562263,18,1498,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Oranguru,81.8,765,normal,psychic,110.2,130.1,142,2034972,23,1498,Confusion,Brutal Swing,Trailblaze,3,4,3,75000
Piloswine (Shadow),81.8,221,ice,ground,121.1,99.5,154,1854684,24,1500,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Sandslash (Shadow),81.8,28,ground,none,120.5,123,125,1852528,23.5,1497,Sand Attack,Rock Tomb,Night Slash,13,9,3,50000
Tentacruel (Shadow),81.8,73,water,poison,108.9,143.5,131,2047453,23,1495,Acid,Scald,Sludge Wave,7,9,3,50000
Charizard (Shadow),81.7,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember,Blast Burn,Dragon Claw,8,5,3,10000
Chesnaught,81.7,652,grass,fighting,119.4,126.9,124,1878859,19,1497,Vine Whip,Frenzy Plant,Superpower,6,5,3,10000
Crustle,81.7,558,bug,rock,120.3,134.7,115,1863686,22,1499,Fury Cutter,X-Scissor,Rock Slide,10,12,1,10000
Gourgeist (Large),81.7,711,ghost,grass,115.9,137.2,122,1940488,22,1500,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Spinda,81.7,327,normal,none,110.1,110.1,142,1720678,50,1380,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Tropius,81.7,357,grass,flying,101.4,128.1,170,2208146,29,1498,Air Slash,Leaf Blade,Aerial Ace,4,5,5,75000
Wailmer (Shadow),81.7,320,water,none,116.6,68.3,242,1926826,48.5,1499,Rollout,Scald,Body Slam,4,3,1,10000
Cetoddle,81.6,974,ice,none,112.6,79.8,213,1914594,50,1469,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Gallade,81.6,475,psychic,fighting,136.6,115.6,104,1642368,18,1499,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Machoke,81.6,67,fighting,none,126.8,97.4,143,1765627,27.5,1499,Karate Chop,Cross Chop,Return,4,8,3,50000
Mightyena,81.6,262,dark,none,125.9,105.8,133,1770707,29,1497,Sucker Punch,Crunch,Poison Fang,7,6,1,10000
Beedrill (Shadow),81.5,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run,5,5,1,10000
Cresselia,81.5,488,psychic,none,92.6,161,162,2416108,19.5,1496,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Dragapult,81.5,887,dragon,ghost,142.5,96.2,115,1577592,15.5,1500,Astonish,Breaking Swipe,Shadow Ball,4,6,5,75000
Marshtomp (Shadow),81.5,259,water,ground,120.4,111.4,139,1864979,33.5,1500,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Bombirdier,81.4,962,flying,dark,127.8,117.2,117,1752237,22,1497,Sucker Punch,Fly,Rock Tomb,7,8,5,75000
Glalie (Shadow),81.4,362,ice,none,115.2,120.8,140,1948427,27,1499,Rollout,Avalanche,Shadow Ball,4,5,3,50000
Hippopotas (Shadow),81.4,449,ground,none,115.1,111.8,152,1955620,50,1500,Sand Attack,Rock Tomb,Dig,13,13,3,50000
Lokix,81.4,920,bug,dark,132.9,104.1,122,1686502,24,1499,Sucker Punch,X-Scissor,Trailblaze,6,7,1,50000
Ledian (Shadow),81.3,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Aerial Ace,Dynamic Punch,14,15,1,10000
Marshtomp,81.3,259,water,ground,119.9,111.5,140,1871384,34.5,1499,Mud Shot,Mud Bomb,Surf,5,6,3,10000
Serperior (Shadow),81.3,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant,Aerial Ace,6,5,3,10000
Abomasnow,81.2,460,grass,ice,117.9,112,143,1888173,23.5,1495,Powder Snow,Icy Wind,Energy Ball,6,7,3,50000
Altaria,81.2,334,dragon,flying,103.4,151.9,138,2167763,28.5,1499,Dragon Breath,Sky Attack,Moonblast,19,20,1,10000
Cofagrigus,81.2,563,ghost,none,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Golett (Shadow),81.2,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Regirock (Shadow),81.2,377,rock,none,103.9,181.1,114,2145474,17.5,1497,Lock On,Stone Edge,Focus Blast,11,15,20,100000
Relicanth,81.2,369,water,rock,105.2,133.7,152,2137627,22.5,1499,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Roserade,81.2,407,grass,poison,141.9,114.3,97,1574006,18.5,1499,Poison Sting,Weather Ball (Fire),Leaf Storm,4,7,3,50000
Aggron,81.1,306,steel,rock,116.6,155.7,106,1925111,18.5,1500,Metal Sound,Rock Tomb,Thunder,7,8,1,10000
Amaura (Shadow),81.1,698,rock,ice,114.3,104.2,165,1964777,50,1500,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Ferrothorn,81.1,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Giratina (Origin),81.1,487,ghost,dragon,118.5,104.5,153,1894615,15,1498,Shadow Claw,Ominous Wind,Shadow Ball,6,7,20,100000
Suicune,81.1,245,water,none,107.1,142.1,138,2100627,19,1500,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Gyarados (Shadow),81,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Overqwil,81,904,dark,poison,131,106.9,122,1708017,18.5,1498,Poison Jab,Aqua Tail,Shadow Ball,5,8,5,75000
Qwilfish (Hisuian),81,211,dark,poison,128.1,112.4,121,1741533,26,1494,Poison Sting,Aqua Tail,Shadow Ball,4,7,3,50000
Ursaring,81,217,normal,none,139.6,91.4,126,1607158,18.5,1500,Shadow Claw,Swift,Close Combat,5,6,3,50000
Wailord,81,321,water,none,118.4,67.4,237,1891875,24.5,1497,Rollout,Surf,Return,4,6,1,10000
Whimsicott,81,547,grass,fairy,118.8,135,118,1892000,28,1499,Fairy Wind,Seed Bomb,Moonblast,5,7,1,10000
Nidorina,80.9,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Palkia (Shadow),80.9,484,water,dragon,141.4,112.4,100,1589044,13.5,1499,Dragon Breath,Aqua Tail,Draco Meteor,12,22,20,100000
Pawniard,80.9,624,dark,steel,132,107.8,119,1692305,49,1497,Fury Cutter,Night Slash,X-Scissor,9,10,5,75000
Fletchinder,80.8,662,fire,flying,123.3,102.6,143,1810501,47.5,1495,Ember,Fly,Aerial Ace,7,6,1,10000
Greedent,80.8,820,normal,none,106.9,110.7,177,2094312,23.5,1497,Mud Shot,Body Slam,Trailblaze,5,6,1,10000
Haunter,80.8,93,ghost,poison,161.2,85.5,101,1392317,28,1498,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Gengar,80.7,94,ghost,poison,154.3,95.5,98,1444036,19,1495,Shadow Claw,Shadow Punch,Sludge Bomb,5,7,3,50000
Leavanny,80.7,542,bug,grass,129.5,110.3,121,1727030,21.5,1497,Shadow Claw,Leaf Blade,X-Scissor,5,5,1,10000
Mantine,80.7,226,water,flying,105.5,166.6,121,2126860,27,1500,Wing Attack,Aerial Ace,Ice Beam,6,8,5,75000
Perrserker,80.7,863,steel,none,128.8,113.4,119,1737649,23,1500,Shadow Claw,Close Combat,Trailblaze,6,6,3,50000
Typhlosion,80.7,157,fire,none,132.8,108.9,117,1691315,19,1498,Incinerate,Blast Burn,Thunder Punch,3,2,3,10000
Wailmer,80.7,320,water,none,116.6,68.3,242,1926826,48.5,1499,Rollout,Scald,Body Slam,4,3,1,10000
Wartortle,80.7,8,water,none,107.6,139.1,139,2080282,47.5,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Cetitan,80.6,975,ice,none,120.2,77.1,202,1870752,18,1500,Powder Snow,Avalanche,Body Slam,6,5,3,50000
Decidueye,80.6,724,grass,ghost,127.8,115.3,119,1754076,20,1500,Astonish,Frenzy Plant,Spirit Shackle,5,4,3,10000
Drifloon (Shadow),80.6,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Pumpkaboo (Super),80.6,710,ghost,grass,111.8,113.4,141,1787612,50,1414,Astonish,Grass Knot,Foul Play,5,4,5,75000
Galvantula (Shadow),80.5,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Fury Cutter,Discharge,Lunge,10,12,3,50000
Hariyama (Shadow),80.5,297,fighting,none,125.6,76.1,186,1778366,19.5,1496,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Sandslash,80.5,28,ground,none,120.5,123,125,1852528,23.5,1497,Sand Attack,Rock Tomb,Scorching Sands,13,13,3,50000
Scrafty,80.5,560,dark,fighting,110.4,156.7,117,2024611,24.5,1495,Counter,Foul Play,Thunder Punch,7,7,3,50000
Gourgeist (Average),80.4,711,ghost,grass,115.9,145.1,115,1933691,23.5,1498,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Kingambit,80.4,983,dark,steel,127.3,112,124,1768045,15.5,1500,Metal Sound,Foul Play,Iron Head,5,7,5,75000
Magneton (Shadow),80.4,82,electric,steel,143.5,114.7,95,1562951,22,1499,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Samurott (Hisuian),80.4,503,water,dark,132.6,96.8,132,1694230,20,1499,Fury Cutter,Dark Pulse,Icy Wind,13,12,3,10000
Skuntank,80.4,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Trevenant,80.4,709,ghost,grass,127.8,104.6,131,1752077,22,1499,Shadow Claw,Seed Bomb,Shadow Ball,6,7,5,75000
Hydreigon,80.3,635,dark,dragon,136.1,104.5,116,1649711,15,1500,Dragon Breath,Brutal Swing,Flash Cannon,12,24,5,75000
Magmar (Shadow),80.3,126,fire,none,135.2,107.6,114,1658602,23,1497,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Drampa,80.2,780,normal,dragon,136.8,104.2,115,1640140,19,1499,Dragon Breath,Swift,Fly,12,15,5,75000
Flygon (Shadow),80.2,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Dragon Claw,Scorching Sands,4,6,5,75000
Hariyama,80.2,297,fighting,none,125.6,76.1,186,1778366,19.5,1496,Force Palm,Upper Hand,Heavy Slam,4,5,3,50000
Raikou (Shadow),80.2,243,electric,none,132.5,109.5,117,1698439,16,1500,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Tauros (Aqua),80.2,128,fighting,water,127.8,120.7,114,1758735,20,1500,Double Kick,Aqua Jet,Trailblaze,4,4,3,50000
Venomoth,80.2,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Gourgeist (Small),80.1,711,ghost,grass,116.9,153,107,1913042,25,1499,Hex,Seed Bomb,Shadow Ball,4,5,5,75000
Beedrill,80,15,bug,poison,127.1,106.5,130,1760459,30.5,1500,Poison Sting,X-Scissor,Drill Run,5,5,1,10000
Castform,80,351,normal,none,112.6,121.3,146,1993800,39.5,1500,Hex,Weather Ball (Rock),Energy Ball,3,5,5,75000
Nidorina (Shadow),80,30,poison,none,110.9,113.4,157,1975496,50,1480,Poison Sting,Poison Fang,Dig,5,6,3,50000
Poliwrath,80,62,water,fighting,115.8,122,137,1936317,21.5,1500,Counter,Scald,Icy Wind,9,8,3,50000
Rhyperior (Shadow),80,464,ground,rock,126.8,104.5,134,1775272,15,1500,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Starmie,80,121,water,psychic,133.2,122,104,1689998,21.5,1500,Psywave,Surf,Power Gem,12,13,3,50000
Venusaur (Shadow),80,3,grass,poison,122.2,122.2,123,1835969,20.5,1500,Vine Whip,Frenzy Plant,Sludge Bomb,6,7,3,10000
Gyarados,79.9,130,water,flying,130.8,108.5,121,1717312,16.5,1498,Dragon Breath,Aqua Tail,Crunch,12,15,1,10000
Litleo,79.9,667,fire,normal,121.6,105.8,144,1851844,48.5,1500,Incinerate,Flame Charge,Crunch,3,3,3,10000
Amaura,79.8,698,rock,ice,114.3,104.2,165,1964777,50,1500,Powder Snow,Weather Ball (Ice),Thunderbolt,5,7,5,75000
Avalugg,79.8,713,ice,none,111.8,141.4,127,2006849,17.5,1500,Ice Fang,Avalanche,Body Slam,8,6,3,50000
Scyther,79.8,123,bug,flying,134.9,109.5,113,1668474,20.5,1500,Fury Cutter,Aerial Ace,Night Slash,10,9,5,75000
Ariados,79.7,168,bug,poison,124.2,103.9,140,1806211,33.5,1497,Poison Sting,Lunge,Trailblaze,5,5,1,10000
Lileep,79.7,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Magnezone (Shadow),79.7,462,electric,steel,134.4,121.2,102,1661074,17,1497,Volt Switch,Wild Charge,Mirror Shot,3,3,3,50000
Pelipper,79.7,279,water,flying,123.3,128.7,115,1825336,26,1500,Wing Attack,Weather Ball (Water),Hurricane,5,10,3,50000
Venomoth (Shadow),79.6,49,bug,poison,127,107.6,129,1763077,27,1497,Psywave,Poison Fang,Bug Buzz,10,15,3,50000
Castform (Snowy),79.5,351,ice,none,112.6,121.3,146,1993800,39.5,1500,Powder Snow,Weather Ball (Ice),Blizzard,5,10,5,75000
Drifloon,79.5,425,ghost,flying,110.9,79.8,186,1646946,50,1353,Hex,Icy Wind,Shadow Ball,4,5,5,75000
Dugtrio (Alolan) (Shadow),79.5,51,ground,steel,148.2,112.9,90,1506431,29,1499,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Ferrothorn (Shadow),79.5,598,grass,steel,107.1,152.7,128,2094247,24.5,1499,Bullet Seed,Power Whip,Thunder,4,5,3,75000
Galvantula,79.5,596,bug,electric,138.3,96.5,122,1627493,25.5,1500,Fury Cutter,Discharge,Lunge,10,12,3,50000
Kricketune,79.5,402,bug,none,127.7,89.6,153,1750786,38,1497,Fury Cutter,X-Scissor,Aerial Ace,10,10,1,10000
Empoleon,79.4,395,water,steel,125.2,117,122,1787543,19,1497,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Servine,79.4,496,grass,none,105.9,140.3,142,2109814,50,1494,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Sneasler (Shadow),79.4,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Empoleon (Shadow),79.3,395,water,steel,125.2,117,122,1787543,19,1497,Metal Claw,Hydro Cannon,Drill Peck,6,6,3,10000
Registeel (Shadow),79.3,379,steel,none,95.5,190.9,129,2350920,23,1500,Lock On,Focus Blast,Zap Cannon,15,16,20,100000
Turtonator,79.3,776,fire,dragon,113.5,153.6,113,1971162,25,1499,Incinerate,Dragon Pulse,Overheat,3,3,5,75000
Furfrou,79.2,676,normal,none,115.5,125.2,134,1937601,26.5,1496,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Lileep (Shadow),79.2,345,rock,grass,100.8,138.6,151,2111110,50,1460,Acid,Grass Knot,Ancient Power,7,6,3,50000
Meganium (Shadow),79.2,154,grass,none,110.8,139,131,2018472,23,1497,Vine Whip,Frenzy Plant,Earthquake,6,9,3,10000
Pawmot,79.2,923,electric,fighting,145.1,95.5,112,1551733,21,1500,Thunder Shock,Brick Break,Wild Charge,5,5,3,75000
Raikou,79.2,243,electric,none,130.9,111.1,118,1716999,16,1499,Thunder Shock,Wild Charge,Shadow Ball,5,7,20,100000
Oinkologne (Female),79.1,916,normal,none,109.6,111.5,167,2041611,22.5,1500,Tackle,Body Slam,Trailblaze,12,15,1,10000
Pidgeot,79.1,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Gust,Air Cutter,Brave Bird,3,5,1,10000
Armaldo (Shadow),79,348,rock,bug,133.9,109.1,115,1680484,19.5,1500,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Charizard,79,6,fire,flying,132.8,108.9,117,1691315,19,1498,Ember,Blast Burn,Dragon Claw,8,5,3,10000
Dugtrio (Alolan),79,51,ground,steel,148.2,112.9,90,1506431,29,1499,Mud Slap,Mud Bomb,Iron Head,4,5,3,50000
Flygon,79,330,ground,dragon,127.9,109.6,125,1752409,21,1500,Dragon Tail,Scorching Sands,Dragon Claw,6,4,5,75000
Skarmory (Shadow),79,227,steel,flying,105.5,166.6,121,2126860,27,1500,Steel Wing,Brave Bird,Sky Attack,10,10,5,75000
Arcanine (Shadow),78.8,59,fire,none,132.1,102.6,125,1693302,18,1496,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Bibarel (Shadow),78.8,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Hawlucha,78.8,701,fighting,flying,127.5,107.6,128,1756378,23,1497,Poison Jab,Flying Press,Aerial Ace,6,6,5,75000
Magneton,78.8,82,electric,steel,143.5,114.7,95,1562951,22,1499,Thunder Shock,Discharge,Magnet Bomb,5,5,3,50000
Bewear,78.7,760,normal,fighting,129.6,87.2,153,1729276,17.5,1497,Shadow Claw,Superpower,Stomp,5,5,1,10000
Pumpkaboo (Large),78.7,710,ghost,grass,113.4,115.1,133,1736900,50,1406,Astonish,Grass Knot,Foul Play,5,4,5,75000
Skuntank (Shadow),78.7,435,poison,dark,121.7,95.2,158,1831135,23.5,1493,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Dubwool,78.6,832,normal,none,110.6,143,128,2025159,25.5,1497,Double Kick,Body Slam,Payback,3,5,3,10000
Golett,78.6,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Mud Slap,Shadow Punch,Brick Break,4,4,5,75000
Lucario,78.6,448,fighting,steel,145.8,93.7,113,1544133,20.5,1500,Force Palm,Thunder Punch,Shadow Ball,4,6,5,75000
Ninjask,78.6,291,bug,flying,144.8,88.4,121,1549131,28.5,1499,Fury Cutter,Aerial Ace,Shadow Ball,10,14,5,75000
Poliwrath (Shadow),78.6,62,water,fighting,115.8,122,137,1936317,21.5,1500,Counter,Scald,Icy Wind,9,8,3,50000
Rhydon (Shadow),78.6,112,ground,rock,126.3,103.4,136,1775740,17.5,1499,Mud Slap,Breaking Swipe,Stone Edge,4,6,3,50000
Sneasler,78.5,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,Aerial Ace,6,5,5,75000
Zangoose,78.5,335,normal,none,144.8,87.8,122,1550367,23,1500,Fury Cutter,Close Combat,Night Slash,12,9,3,50000
Ampharos (Shadow),78.3,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Arcanine,78.3,59,fire,none,132.1,102.6,125,1693302,18,1496,Fire Fang,Wild Charge,Psychic Fangs,8,6,3,50000
Grimer,78.3,88,poison,none,121,88.2,172,1836323,50,1491,Poison Jab,Sludge,Mud Bomb,6,6,3,50000
Raticate (Alolan),78.3,20,dark,normal,107.1,130.2,150,2090786,36.5,1497,Quick Attack,Crunch,Return,6,9,1,10000
Regice,78.3,378,ice,none,103.7,180.2,116,2168334,18,1500,Lock On,Blizzard,Thunder,15,12,20,100000
Machop,78.2,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Return,4,8,3,50000
Magmortar (Shadow),78.2,467,fire,none,140.8,104.5,108,1589375,17.5,1498,Karate Chop,Fire Punch,Thunderbolt,5,7,5,75000
Rapidash,78.2,78,fire,none,133.7,111.5,112,1669979,22.5,1499,Incinerate,Flame Charge,Wild Charge,3,3,3,50000
Snorlax (Shadow),78.2,143,normal,none,108.4,102.3,187,2073265,17.5,1500,Lick,Body Slam,Superpower,12,14,5,75000
Cresselia (Shadow),78.1,488,psychic,none,93.2,159.9,162,2413684,19.5,1500,Psycho Cut,Grass Knot,Moonblast,6,7,20,100000
Frillish,78.1,592,water,ghost,109.2,125.2,135,1846427,50,1421,Hex,Night Shade,Ice Beam,4,5,3,50000
Granbull (Shadow),78.1,210,fairy,none,135.3,88.3,139,1661969,22,1500,Charm,Close Combat,Crunch,8,8,3,50000
Machop (Shadow),78,66,fighting,none,127.7,81.5,157,1634495,50,1445,Karate Chop,Cross Chop,Brick Break,4,5,3,50000
Pawmo,78,922,electric,fighting,136.1,81.5,142,1575592,50,1468,Thunder Shock,Wild Charge,Thunder Punch,5,5,3,75000
Wartortle (Shadow),78,8,water,none,107.6,139.1,139,2080282,47.5,1496,Water Gun,Aqua Jet,Ice Beam,14,19,3,10000
Aromatisse,77.9,683,fairy,none,115.8,107.3,156,1939437,24,1500,Charm,Moonblast,Thunderbolt,10,10,3,50000
Rhyperior,77.9,464,ground,rock,126.8,104.5,134,1775272,15,1500,Mud Slap,Breaking Swipe,Rock Wrecker,4,5,3,50000
Tyrunt (Shadow),77.9,696,rock,dragon,126.6,107.9,129,1762642,38.5,1498,Dragon Tail,Dragon Claw,Ancient Power,4,5,5,75000
Mantyke,77.8,458,water,flying,100.8,163,120,1972572,50,1411,Bubble,Aerial Ace,Water Pulse,4,5,5,10000
Pinsir (Shadow),77.8,127,bug,none,139.6,112.6,102,1603789,18.5,1498,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Sceptile,77.8,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Frenzy Plant,Breaking Swipe,12,9,3,10000
Heatran (Shadow),77.7,485,fire,steel,130.7,115.5,113,1705941,14.5,1499,Fire Spin,Magma Storm,Stone Edge,4,6,20,100000
Politoed,77.7,186,water,none,114,124.3,139,1970072,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Politoed (Shadow),77.7,186,water,none,114,124.3,139,1970072,23,1498,Mud Shot,Weather Ball (Water),Earthquake,5,9,3,50000
Tapu Fini,77.7,788,water,fairy,115.3,160.7,105,1945492,20,1498,Water Gun,Surf,Nature's Madness,15,17,20,100000
Ampharos,77.6,181,electric,none,126.8,107.9,129,1766112,19.5,1497,Volt Switch,Brutal Swing,Trailblaze,3,3,5,75000
Bibarel,77.6,400,normal,water,123,99.3,149,1818797,31.5,1498,Rollout,Surf,Hyper Fang,4,4,1,10000
Rapidash (Galarian),77.6,78,psychic,fairy,133.7,111.5,112,1669979,22.5,1499,Fairy Wind,Body Slam,Wild Charge,4,5,3,50000
Vaporeon,77.6,134,water,none,118.5,96.9,165,1894159,18,1500,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Dugtrio (Shadow),77.5,51,ground,none,136.8,120.1,100,1642734,41,1500,Mud Slap,Mud Bomb,Stone Edge,4,6,3,50000
Escavalier,77.5,589,bug,steel,132.2,117.6,108,1679048,19,1495,Bug Bite,Drill Run,Razor Shell,15,12,3,50000
Golem (Alolan) (Shadow),77.5,76,rock,electric,125.2,122.3,117,1791042,19,1497,Rollout,Wild Charge,Rock Blast,4,4,1,10000
Kangaskhan,77.5,115,normal,none,114.6,110.9,153,1943857,21.5,1495,Mud Slap,Stomp,Crunch,4,5,3,50000
Kleavor,77.5,900,bug,rock,143.6,104.5,104,1560876,17.5,1500,Fury Cutter,X-Scissor,Stone Edge,10,14,5,75000
Pidgeot (Shadow),77.5,18,normal,flying,116.9,115.5,142,1917898,26.5,1499,Gust,Brave Bird,Air Cutter,5,3,1,10000
Pinsir,77.5,127,bug,none,139.6,112.6,102,1603789,18.5,1498,Fury Cutter,Close Combat,X-Scissor,12,10,5,75000
Grafaiai,77.4,945,poison,normal,134.2,107.8,115,1663690,24.5,1498,Mud Slap,Poison Fang,Sludge Bomb,4,5,3,50000
Haunter (Shadow),77.4,93,ghost,poison,161.2,85.5,101,1392317,28,1498,Shadow Claw,Ice Punch,Shadow Ball,5,7,3,50000
Wailord (Shadow),77.4,321,water,none,118.4,67.4,237,1891875,24.5,1497,Rollout,Surf,Hyper Beam,4,7,1,10000
Mawile,77.3,303,steel,fairy,124.8,120.8,119,1793917,39,1497,Fairy Wind,Iron Head,Play Rough,6,7,5,75000
Noctowl,77.3,164,normal,flying,105.3,120.2,168,2126381,28,1500,Wing Attack,Sky Attack,Night Shade,8,7,1,10000
Typhlosion (Hisuian),77.3,157,fire,ghost,139.6,106.9,108,1611490,18.5,1500,Ember,Fire Punch,Wild Charge,6,7,3,10000
Sylveon,77.2,700,fairy,none,117.3,124.7,130,1901632,18,1498,Charm,Psyshock,Moonblast,7,10,5,75000
Celesteela,77.1,797,steel,flying,119.6,120.7,130,1876702,18,1500,Air Slash,Body Slam,Iron Head,4,6,20,100000
Centiskorch,77,851,fire,bug,128.7,99.4,136,1739873,18.5,1500,Ember,Lunge,Crunch,7,7,5,75000
Magmar,77,126,fire,none,135.2,107.6,114,1658602,23,1497,Karate Chop,Fire Punch,Scorching Sands,5,6,5,75000
Mamoswine,77,473,ice,ground,136.2,87.4,138,1642085,16.5,1500,Powder Snow,Icicle Spear,High Horsepower,5,8,3,50000
Muk,77,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Munchlax,77,446,normal,none,103.2,96.6,218,2172279,30,1499,Tackle,Body Slam,Bulldoze,12,15,5,10000
Sceptile (Shadow),77,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Frenzy Plant,Breaking Swipe,12,9,3,10000
Heliolisk,76.9,695,electric,normal,138.1,112.1,105,1626001,21.5,1500,Volt Switch,Breaking Swipe,Parabolic Charge,3,3,3,50000
Muk (Shadow),76.9,89,poison,none,115.9,111.7,148,1916176,20,1491,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Suicune (Shadow),76.9,245,water,none,106.9,143.1,137,2094679,18.5,1497,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Zoroark (Hisuian),76.9,571,normal,ghost,163.4,87.5,96,1373550,21,1499,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
